"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"1","bearing_degrees","200","coordinates","N1.20701 E37.62679","distance_meters","100","habitat_","open_scrub","how_many_animals_were_observed","4","observers","TW2","species_","giraffe","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"2","bearing_degrees","300","coordinates","N1.20195 E37.62064","distance_meters","20","habitat_","commiphora_dominated","observers","TW2 o","species_","gerenuk","was_a_group_of_animals_observed","individual","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","bearing_degrees","10","coordinates","N1.18823 E37.59601","distance_meters","80","habitat_","open_scrub","observers","TW2","species_","bird","was_a_group_of_animals_observed","individual","was_the_animal_observed_as_road","alive","what_species_of_bird_was_observ","Ostrich","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"4","bearing_degrees","20","coordinates","N1.15642 E37.59455","distance_meters","180","habitat_","open_scrub","how_many_animals_were_observed","300","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"5","bearing_degrees","300","coordinates","N1.14868 E37.59669","distance_meters","30","habitat_","open_scrub","how_many_animals_were_observed","7","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"6","bearing_degrees","70","coordinates","N1.13874 E37.59910","distance_meters","200","habitat_","open_scrub","how_many_animals_were_observed","34","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"7","bearing_degrees","20","coordinates","N1.11442 E37.59324","distance_meters","40","habitat_","disturbed_human_buildings","how_many_animals_were_observed","12","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"8","approximate_age_of_individual","3","approximate_number_of_days_sinc","2","coordinates","N1.03003 E37.56321","habitat_","commiphora_dominated","observers","TW2","sex_of_animal","female","species_","jackal","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","40","coordinates","N1.97961 E37.57896","distance_meters","50","generated_note_survey","null","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","null","livestock","null","observers","TW2","sex_of_animal","null","species_","gerenuk","was_a_group_of_animals_observed","individual","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"10","bearing_degrees","20","coordinates","N0.85822 E37.56822","distance_meters","20","habitat_","dense_scrub","how_many_animals_were_observed","53","observers","TW2","species_","baboon","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"11","bearing_degrees","30","coordinates","N0.83642 E37.56413","distance_meters","40","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","40","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"12","approximate_age_of_individual","3","approximate_number_of_days_sinc","1","coordinates","N0.82991 E37.56109","habitat_","mixed_shrubs_and_trees","observers","TW2","sex_of_animal","female","species_","jackal","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","bearing_degrees","230","coordinates","N0.77583 E37.55631","distance_meters","70","habitat_","seasonal_permanent_H2O_source","how_many_animals_were_observed","300","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"14","approximate_age_of_individual","2","approximate_number_of_days_sinc","7","coordinates","N0.72859 E37.59412","habitat_","acacia _reficiens_dominated","observers","TW2","sex_of_animal","can_not_tell","species_","bat_eared_fox","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","bearing_degrees","30","coordinates","N0.70794 E37.61197","distance_meters","50","habitat_","open_scrub","how_many_animals_were_observed","54","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"16","bearing_degrees","120","coordinates","N0.68773 E37.63109","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","5","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"17","bearing_degrees","20","coordinates","N0.67482 E37.63942","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","45","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"18","bearing_degrees","340","coordinates","N0.66339 E37.64617","distance_meters","50","habitat_","disturbed_human_buildings","how_many_animals_were_observed","40","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"19","bearing_degrees","70","coordinates","N0.64341 E37.65154","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","70","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"20","bearing_degrees","30","coordinates","N0.62708 E37.67400","distance_meters","100","how_many_animals_were_observed","70","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"21","bearing_degrees","350","coordinates","N0.60315 E37.67215","distance_meters","130","habitat_","open_scrub","how_many_animals_were_observed","3","observers","TW2","species_","elephant","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,NA,NA,NA
"22","bearing_degrees","320","coordinates","N0.59684 E37.67233","distance_meters","100","habitat_","seasonal_permanent_H2O_source","how_many_animals_were_observed","500","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"23","bearing_degrees","50","coordinates","N0.58676 E37.67417","distance_meters","230","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","150","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"24","bearing_degrees","40","coordinates","N0.55883 E37.67589","distance_meters","60","habitat_","open_scrub","how_many_animals_were_observed","400","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"25","bearing_degrees","40","coordinates","N0.52424 E37.65524","distance_meters","70","habitat_","open_scrub","how_many_animals_were_observed","40","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"26","bearing_degrees","40","coordinates","N0.51938 E37.65231","distance_meters","60","habitat_","seasonal_permanent_H2O_source","how_many_animals_were_observed","54","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"27","bearing_degrees","340","coordinates","N0.51289 E37.64808","distance_meters","20","habitat_","disturbed_human_buildings","how_many_animals_were_observed","24","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"28","bearing_degrees","320","coordinates","N0.48762 E37.63395","distance_meters","20","habitat_","disturbed_human_buildings","how_many_animals_were_observed","40","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"29","bearing_degrees","260","coordinates","N0.47883 E37.62942","distance_meters","10","habitat_","disturbed_human_buildings","how_many_animals_were_observed","30","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"30","bearing_degrees","54","coordinates","N0.46677 E37.61868","distance_meters","60","habitat_","open_scrub","how_many_animals_were_observed","34","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"31","bearing_degrees","50","coordinates","N0.46285 E37.61475","distance_meters","20","habitat_","open_scrub","how_many_animals_were_observed","17","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"32","bearing_degrees","240","coordinates","N0.46087 E37.61301","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","43","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"33","bearing_degrees","230","coordinates","N0.44762 E37.60777","distance_meters","140","habitat_","open_scrub","how_many_animals_were_observed","17","livestock","camel","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"34","bearing_degrees","90","coordinates","N1.40016 E37.72320","distance_meters","60","habitat_","rocky_mixed_shrubs","how_many_animals_were_observed","23","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"35","bearing_degrees","40","coordinates","N1.38853 E37.72173","distance_meters","120","habitat_","open_scrub","how_many_animals_were_observed","34","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"36","bearing_degrees","240","coordinates","N1.38337E37.71984","distance_meters","20","habitat_","open_scrub","how_many_animals_were_observed","1200","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"37","bearing_degrees","280","coordinates","N1.14033 E37.59871","distance_meters","50","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","32","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"38","bearing_degrees","40","coordinates","N1.11187 E37.59226","distance_meters","30","habitat_","open_scrub","how_many_animals_were_observed","63","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"39","bearing_degrees","270","coordinates","01.09958 037.58479","distance_meters","120","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","43","livestock","shoat","observers","Sebastian Lerapayo","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"40","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","264","coordinates","01.09831 037. 58149","distance_meters","75","generated_note_survey","null","habitat_","open_scrub","how_many_animals_were_observed","120","livestock","shoat","observers","TW2","sex_of_animal","null","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"41","approximate_age_of_individual","5","approximate_number_of_days_sinc","1","bearing_degrees","null","coordinates","00.95086 037.57594","distance_meters","null","habitat_","open_scrub","observers","Lerapayo Sebastian, Lemirgishan and Jonathan Lenyakopiro","sex_of_animal","null","species_","genet","was_a_group_of_animals_observed","null","was_the_animal_observed_as_road","roadkill","width_of_the_road","single_lane",NA,NA,NA,NA
"42","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","90","coordinates","00.85071 037.56963","distance_meters","30","generated_note_survey","null","habitat_","dense_scrub","how_many_animals_were_observed","90","livestock","shoat","observers","TW2","sex_of_animal","null","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"43","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","270","coordinates","00.84568 037.56916","distance_meters","60","generated_note_survey","null","habitat_","dense_scrub","how_many_animals_were_observed","7","livestock","camel","observers","TW2","sex_of_animal","null","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"44","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","270","coordinates","00.83271 037.56202","distance_meters","78","generated_note_survey","null","habitat_","dense_scrub","how_many_animals_were_observed","21","livestock","cattle","observers","TW2","sex_of_animal","null","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"45","approximate_age_of_individual","null","approximate_number_of_days_sinc","null","bearing_degrees","245","coordinates","00.79500 037.55075","distance_meters","100","generated_note_survey","null","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","68","livestock","shoat","observers","TW2","sex_of_animal","null","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive,
    what_species_of_bird_was_observ"
"46","bearing_degrees","270","coordinates","N0.76704 E37.56035","distance_meters","200","habitat_","acacia _reficiens_dominated","how_many_animals_were_observed","45","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"47","bearing_degrees","30","coordinates","N0.76345 E37.56351","distance_meters","70","habitat_","acacia _reficiens_dominated","how_many_animals_were_observed","70","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"48","bearing_degrees","20","coordinates","N0.70092 E37.61801","distance_meters","60","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","300","livestock","shoat","observers","TW2 n","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"49","bearing_degrees","60","coordinates","N0.68167 E37.63521","distance_meters","80","habitat_","open_scrub","how_many_animals_were_observed","24","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"50","bearing_degrees","50","coordinates","N0.66813 E37.64328","distance_meters","240","habitat_","open_scrub","how_many_animals_were_observed","140","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"51","bearing_degrees","340","coordinates","N0.66707 E37.64392","distance_meters","90","habitat_","open_scrub","how_many_animals_were_observed","34","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"52","bearing_degrees","200","coordinates","N0.66349 E37.64613","distance_meters","23","habitat_","disturbed_human_buildings","how_many_animals_were_observed","34","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"53","bearing_degrees","80","coordinates","N0.65643 E37.64877","distance_meters","45","habitat_","disturbed_human_buildings","how_many_animals_were_observed","59","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"54","bearing_degrees","180","coordinates","N0.62736 E37.67405","distance_meters","5","habitat_","mixed_shrubs_and_trees","how_many_animals_were_observed","65","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"55","bearing_degrees","30","coordinates","N0.59389 E37.67292","distance_meters","50","habitat_","seasonal_permanent_H2O_source","how_many_animals_were_observed","300","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"56","bearing_degrees","60","coordinates","N0.58530 E37.67501","distance_meters","40","habitat_","open_scrub","how_many_animals_were_observed","43","livestock","camel","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"57","bearing_degrees","300","coordinates","N0.56274 E37.67790","distance_meters","80","habitat_","open_scrub","how_many_animals_were_observed","16","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"58","bearing_degrees","340","coordinates","N0.54437 E37.66727","distance_meters","300","habitat_","rocky_mixed_shrubs","how_many_animals_were_observed","4","livestock","camel","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"59","bearing_degrees","340","coordinates","N0.53132 E37.65956","distance_meters","20","habitat_","open_scrub","how_many_animals_were_observed","34","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"60","bearing_degrees","250","coordinates","N0.52802 E37.65755","distance_meters","50","habitat_","open_scrub","how_many_animals_were_observed","70","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
"61","bearing_degrees","300","coordinates","N0.51612 E37.65008","distance_meters","10","habitat_","open_scrub","how_many_animals_were_observed","9","livestock","cattle","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","width_of_the_road","single_lane",NA,NA,NA,NA,NA,"objectid,
      editMode"
